nohup: ignoring input
Epoch:0, loss=2519.296630859375
Training loss:1.089056134223938, test loss: 1.4814271926879883
Epoch:88, loss=43.51387023925781
Training loss:0.9889541864395142, test loss: 1.3604307174682617
Epoch:89, loss=40.167903900146484
Training loss:0.940290093421936, test loss: 1.3585257530212402
Epoch:90, loss=38.81828689575195
Training loss:1.015360951423645, test loss: 1.3480125665664673
Epoch:91, loss=39.51177215576172
Training loss:0.9601437449455261, test loss: 1.2994598150253296
Epoch:92, loss=40.7769889831543
Training loss:1.150277018547058, test loss: 1.490354061126709
Epoch:93, loss=40.19805908203125
Training loss:0.9028865098953247, test loss: 1.2879793643951416
Epoch:94, loss=39.22175216674805
Training loss:2.3683526515960693, test loss: 2.6856837272644043
Epoch:95, loss=46.416114807128906
Training loss:1.590193271636963, test loss: 1.972566843032837
Epoch:96, loss=45.450992584228516
Training loss:0.9566327333450317, test loss: 1.3286619186401367
Epoch:97, loss=41.072208404541016
Training loss:1.0129451751708984, test loss: 1.4137928485870361
Epoch:98, loss=39.46583557128906
Training loss:1.9127178192138672, test loss: 2.2950899600982666
Epoch:99, loss=40.51716613769531
Training loss:1.1849960088729858, test loss: 1.5206031799316406
